market_id,market_name,contract_id,contract_name,short_name,status,last_trade_price,best_buy_yes_price,best_buy_no_price,best_sell_yes_price,best_sell_no_price,last_close_price,display_order,timestamp
8095,Who will win the Democratic nomination for Mayor of New York?,31464,31464,Cuomo,Open,0.68,0.69,0.32,0.68,0.31,0.68,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31460,31460,Mamdani,Open,0.12,0.13,0.88,0.12,0.87,0.12,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31458,31458,Lander,Open,0.07,0.07,0.94,0.06,0.93,0.05,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31459,31459,E. Adams,Open,0.06,0.07,0.94,0.06,0.93,0.06,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31461,31461,Myrie,Open,0.05,0.05,0.96,0.04,0.95,0.05,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31462,31462,Stringer,Open,0.03,0.04,0.97,0.03,0.96,0.03,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31463,31463,Ramos,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31465,31465,James,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31466,31466,Williams,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31743,31743,Tilson,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31788,31788,A. Adams,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,2025-03-24 10:38:08.218590
8095,Who will win the Democratic nomination for Mayor of New York?,31789,31789,Blake,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8099,Which party will win the 2025 gubernatorial election in Virginia?,31488,31488,Democratic,Open,0.81,0.82,0.19,0.81,0.18,0.83,0,2025-03-24 10:38:08.218590
8099,Which party will win the 2025 gubernatorial election in Virginia?,31487,31487,Republican,Open,0.17,0.18,0.83,0.17,0.82,0.17,0,2025-03-24 10:38:08.218590
8100,Will Congress confirm a Supreme Court justice in 2025?,31489,31489,SCOTUS justice confirmed in 2025?,Open,0.28,0.28,0.73,0.27,0.72,0.27,0,2025-03-24 10:38:08.218590
8118,Who will win the Spring 2025 Wisconsin Supreme Court election?,31657,31657,Crawford,Open,0.79,0.8,0.21,0.79,0.2,0.8,0,2025-03-24 10:38:08.218590
8118,Who will win the Spring 2025 Wisconsin Supreme Court election?,31658,31658,Schimel,Open,0.24,0.24,0.77,0.23,0.76,0.23,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31689,31689,67 or fewer,Open,0.83,0.83,0.18,0.82,0.17,0.83,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31695,31695,68 to 70,Open,0.12,0.13,0.88,0.12,0.87,0.12,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31696,31696,71 to 73,Open,0.06,0.07,0.94,0.06,0.93,0.06,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31697,31697,74 to 76,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31698,31698,77 to 79,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31690,31690,80 to 82,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31693,31693,83 to 85,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
8122,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,31691,31691,86 to 88,Open,0.01,0.01,,,0.99,0.01,0,2025-03-24 10:38:08.218590
